temp,hum,percp,wspeed,pm10
0.1,99.0,0.0,6.0,39.0
-0.1,99.0,0.0,6.5,39.0
0.8,99.0,0.0,6.2,37.0
0.4,100.0,0.0,5.5,40.0
-0.1,99.0,0.0,4.1,39.0
-0.3,99.0,0.0,3.9,37.0
-0.3,99.0,0.0,3.7,34.0
-0.1,99.0,0.0,3.5,32.0
1.5,97.0,0.0,3.9,38.0
3.6,93.0,0.0,3.9,43.0
5.8,85.0,0.0,3.7,37.0
8.4,76.0,0.0,3.1,43.0
10.8,68.0,0.0,5.1,45.0
12.3,61.0,0.0,9.7,43.0
13.1,58.0,0.0,12.1,34.0
13.1,58.0,0.0,13.4,26.608918503331623
12.3,62.0,0.0,13.4,26.608918503331623
10.7,70.0,0.0,12.8,26.608918503331623
8.7,81.0,0.0,11.4,26.608918503331623
7.2,90.0,0.0,9.7,26.608918503331623
6.1,94.0,0.0,9.7,26.608918503331623
5.1,97.0,0.0,10.7,26.608918503331623
3.9,98.0,0.0,10.9,26.608918503331623
3.3,98.0,0.0,10.0,26.608918503331623
3.1,99.0,0.0,10.5,26.608918503331623
2.7,99.0,0.0,10.8,26.608918503331623
1.9,99.0,0.0,10.5,26.608918503331623
2.0,99.0,0.0,10.6,26.608918503331623
2.3,99.0,0.0,10.9,26.608918503331623
2.4,99.0,0.0,10.5,26.608918503331623
2.5,99.0,0.0,10.2,26.608918503331623
2.6,99.0,0.0,10.2,26.608918503331623
3.4,97.0,0.0,10.9,29.0
5.4,90.0,0.0,11.3,28.0
7.1,83.0,0.0,13.9,39.0
8.5,78.0,0.0,15.2,56.0
9.9,73.0,0.0,15.1,49.0
11.0,69.0,0.0,14.9,49.0
11.6,66.0,0.0,14.8,49.0
11.3,67.0,0.0,14.7,48.0
10.7,70.0,0.0,14.0,51.0
9.3,77.0,0.0,12.8,50.0
7.6,85.0,0.0,10.5,51.0
6.0,93.0,0.0,9.3,51.0
5.9,93.0,0.0,8.0,51.0
5.5,95.0,0.0,7.3,54.0
4.8,97.0,0.0,6.8,53.0
4.4,98.0,0.0,6.2,65.0
3.9,100.0,0.0,6.2,64.0
3.8,99.0,0.0,6.5,71.0
3.9,100.0,0.0,5.4,67.0
3.7,100.0,0.0,4.7,64.0
3.5,100.0,0.0,4.8,65.0
3.2,100.0,0.0,4.4,59.0
2.7,100.0,0.0,3.6,54.0
2.7,100.0,0.0,3.6,51.0
2.7,99.0,0.0,3.6,54.0
4.8,92.0,0.0,3.2,66.0
6.9,82.0,0.0,3.6,63.0
8.9,71.0,0.0,0.5,63.0
10.6,64.0,0.0,1.6,66.0
11.6,59.0,0.0,2.3,63.0
12.2,57.0,0.0,3.1,62.0
12.4,56.0,0.0,3.6,52.0
12.2,57.0,0.0,4.8,45.0
11.2,64.0,0.0,3.8,49.0
9.2,73.0,0.0,6.3,59.0
7.1,83.0,0.0,8.0,40.0
6.0,88.0,0.0,7.9,39.0
4.9,92.0,0.0,7.2,39.0
4.0,96.0,0.0,6.8,39.0
3.3,97.0,0.0,5.0,43.0
2.8,98.0,0.0,4.8,52.0
2.4,98.0,0.0,4.7,56.0
2.6,99.0,0.0,4.6,57.0
2.6,99.0,0.0,5.0,56.0
2.6,99.0,0.0,5.4,50.0
3.1,98.0,0.0,5.0,49.0
3.4,98.0,0.0,5.0,46.0
3.4,98.0,0.0,4.8,45.0
4.1,95.0,0.0,5.2,46.0
6.5,91.0,0.0,4.5,49.0
8.7,80.0,0.0,4.4,57.0
10.2,68.0,0.0,5.0,65.0
10.9,62.0,0.0,4.6,61.0
11.4,57.0,0.0,5.9,73.0
11.4,57.0,0.0,7.9,67.0
11.0,59.0,0.0,8.3,67.0
10.8,61.0,0.0,7.4,78.0
10.0,66.0,0.0,6.9,80.0
8.4,75.0,0.0,6.3,76.0
6.8,85.0,0.0,6.0,65.0
6.0,87.0,0.0,5.8,63.0
5.2,91.0,0.0,6.3,67.0
4.4,94.0,0.0,6.4,72.0
3.5,97.0,0.0,7.1,67.0
2.9,98.0,0.0,7.4,50.0
2.5,99.0,0.0,7.6,51.0
2.1,99.0,0.0,7.6,65.0
1.6,99.0,0.0,7.8,46.0
1.5,99.0,0.0,6.8,43.0
1.4,99.0,0.0,7.1,40.0
1.5,99.0,0.0,7.1,33.0
1.6,99.0,0.0,7.5,34.0
2.6,99.0,0.0,8.9,33.0
5.8,92.0,0.0,8.9,32.0
7.7,83.0,0.0,12.2,32.0
8.4,81.0,0.0,20.4,37.0
8.9,78.0,0.0,22.9,46.0
9.2,76.0,0.0,23.6,58.0
9.9,73.0,0.0,24.6,55.0
10.1,72.0,0.0,23.6,43.0
9.7,75.0,0.0,20.9,44.0
9.1,80.0,0.0,17.1,45.0
8.2,86.0,0.0,15.2,41.0
7.6,91.0,0.0,15.0,39.0
7.2,90.0,0.0,14.8,41.0
7.0,91.0,0.0,15.1,38.0
6.9,92.0,0.0,15.1,32.0
6.9,93.0,0.1,15.0,31.0
6.8,94.0,0.1,15.8,27.0
6.7,94.0,0.0,17.1,26.0
6.7,95.0,0.0,18.3,26.0
6.8,95.0,0.0,19.4,24.0
7.2,94.0,0.0,20.7,25.0
7.3,94.0,0.0,20.7,25.0
7.4,94.0,0.0,19.3,28.0
7.4,94.0,0.0,16.4,26.0
7.6,97.0,0.1,15.0,25.0
7.9,94.0,0.0,11.8,32.0
8.3,92.0,0.0,13.1,35.0
8.9,89.0,0.1,13.8,35.0
9.3,88.0,0.2,14.2,36.0
9.9,84.0,0.5,12.7,36.0
10.4,78.0,0.5,13.2,37.0
9.9,83.0,0.8,11.9,40.0
10.3,84.0,0.7,4.8,37.0
8.8,90.0,1.6,5.4,40.0
7.5,95.0,1.5,9.5,43.0
6.0,97.0,1.4,12.9,39.0
5.0,100.0,1.4,14.0,19.0
3.0,100.0,1.5,10.0,7.0
2.6,100.0,1.4,8.1,2.0
2.4,100.0,1.0,13.9,2.0
2.1,98.0,0.9,12.7,2.0
1.8,98.0,1.0,14.1,2.0
2.0,98.0,1.2,14.4,2.0
1.7,96.0,1.4,13.4,2.0
1.5,96.0,1.2,14.1,2.0
1.3,95.0,1.0,13.3,2.0
1.2,95.0,0.9,14.4,2.0
0.8,90.0,0.7,15.5,2.0
0.8,92.0,0.2,17.4,2.0
1.4,86.0,0.1,19.7,2.0
2.0,73.0,0.1,21.3,3.0
2.3,65.0,0.0,21.7,4.0
2.5,58.0,0.1,21.1,5.0
2.8,54.0,0.1,22.6,4.0
2.9,53.0,0.1,25.3,5.0
2.6,56.0,0.1,23.3,5.0
2.2,61.0,0.2,17.8,5.0
1.6,67.0,0.2,15.8,5.0
1.1,70.0,0.3,19.1,4.0
0.7,72.0,0.3,19.1,4.0
-0.0,78.0,0.3,18.4,4.0
-0.3,79.0,0.3,17.9,5.0
-0.5,79.0,0.2,17.6,4.0
-0.7,78.0,0.2,15.8,5.0
-0.9,78.0,0.1,16.6,5.0
-1.0,77.0,0.1,16.8,4.0
-1.2,77.0,0.1,15.8,4.0
-1.4,77.0,0.1,14.7,4.0
-1.6,78.0,0.1,13.2,4.0
-1.9,79.0,0.0,12.9,4.0
-2.0,80.0,0.1,13.2,6.0
-2.1,80.0,0.1,12.9,7.0
-1.1,74.0,0.0,13.7,9.0
-0.2,65.0,0.0,18.9,10.0
0.4,62.0,0.0,19.5,14.0
0.9,61.0,0.0,20.2,11.0
1.5,58.0,0.0,19.7,10.0
1.8,57.0,0.0,20.9,12.0
2.0,55.0,0.0,21.2,12.0
2.1,55.0,0.0,19.4,12.0
1.9,55.0,0.0,19.3,13.0
1.5,57.0,0.0,17.5,14.0
0.8,61.0,0.1,14.6,12.0
0.1,66.0,0.3,14.0,15.0
-0.5,77.0,0.3,13.5,14.0
-0.8,79.0,0.3,12.8,15.0
-0.9,79.0,0.2,13.2,15.0
-1.0,80.0,0.2,15.4,16.0
-1.0,80.0,0.1,17.1,16.0
-1.0,80.0,0.1,17.3,16.0
-1.6,79.0,0.1,16.9,15.0
-1.6,79.0,0.1,15.7,15.0
-1.7,81.0,0.1,14.6,15.0
-1.7,81.0,0.1,14.8,16.0
-1.7,81.0,0.1,14.5,15.0
-1.7,82.0,0.1,14.4,18.0
-1.3,79.0,0.1,14.4,20.0
-0.8,75.0,0.0,14.5,22.0
-0.5,74.0,0.0,14.7,22.0
-0.1,72.0,0.0,14.3,21.0
0.4,71.0,0.0,14.8,21.0
0.9,70.0,0.0,14.6,22.0
1.4,69.0,0.0,13.5,23.0
1.6,69.0,0.0,13.6,23.0
1.6,69.0,0.0,14.2,25.0
1.4,70.0,0.0,14.4,29.0
1.1,71.0,0.0,14.4,28.0
0.7,73.0,0.0,14.1,29.0
0.4,75.0,0.0,11.7,30.0
0.3,76.0,0.0,11.7,28.0
0.2,78.0,0.0,11.2,25.0
0.1,79.0,0.0,13.9,27.0
0.1,80.0,0.0,12.2,27.0
0.0,80.0,0.0,12.3,25.0
-0.1,81.0,0.0,12.0,24.0
-0.1,81.0,0.0,11.2,31.0
-0.1,80.0,0.0,11.6,31.0
-0.2,80.0,0.1,11.4,29.0
-0.3,81.0,0.1,11.6,27.0
-0.4,82.0,0.2,11.6,26.0
-0.1,81.0,0.2,13.0,27.0
0.2,80.0,0.1,14.7,27.0
0.7,79.0,0.1,15.0,27.0
1.3,78.0,0.1,17.6,29.0
1.9,76.0,0.1,16.3,30.0
2.3,76.0,0.1,15.9,34.0
2.6,77.0,0.2,14.6,30.0
2.5,79.0,0.3,15.4,26.0
2.3,82.0,0.3,11.3,24.0
2.0,87.0,0.4,9.9,19.0
1.6,91.0,0.4,10.4,13.0
1.4,93.0,0.6,9.4,17.0
1.4,92.0,0.7,8.8,16.0
1.2,94.0,0.7,8.7,17.0
1.2,95.0,0.5,8.4,13.0
1.1,96.0,0.4,9.4,9.0
1.1,97.0,0.4,9.2,8.0
1.0,97.0,0.4,7.9,15.0
1.2,98.0,0.4,7.1,22.0
1.2,98.0,0.5,7.4,24.0
1.1,98.0,0.4,8.2,22.0
1.1,98.0,0.3,8.8,22.0
1.1,98.0,0.3,9.0,20.0
1.2,98.0,0.2,8.5,15.0
1.7,96.0,0.1,7.4,18.0
1.9,96.0,0.1,6.6,17.0
2.9,91.0,0.1,5.9,18.0
4.4,83.0,0.0,10.2,26.608918503331623
5.0,80.0,0.0,11.5,13.0
5.3,78.0,0.0,9.8,13.0
5.2,79.0,0.0,9.6,13.0
5.6,77.0,0.0,7.6,14.0
5.3,79.0,0.0,6.5,15.0
4.7,84.0,0.0,5.1,17.0
4.1,90.0,0.0,4.3,20.0
3.5,90.0,0.0,4.0,23.0
3.4,90.0,0.0,3.3,28.0
3.5,87.0,0.0,3.7,36.0
3.3,88.0,0.0,3.3,37.0
2.6,91.0,0.0,3.2,37.0
2.6,92.0,0.0,3.0,34.0
2.2,93.0,0.0,3.3,33.0
1.9,95.0,0.0,2.7,32.0
1.7,96.0,0.0,2.9,35.0
1.4,97.0,0.0,3.5,35.0
0.8,98.0,0.0,2.9,34.0
1.0,98.0,0.0,3.4,35.0
1.7,98.0,0.2,4.9,37.0
2.8,94.0,0.2,5.9,35.0
3.9,92.0,0.2,5.7,33.0
4.9,90.0,0.1,7.1,32.0
6.1,80.0,0.1,7.9,29.0
7.1,76.0,0.1,8.8,27.0
7.6,72.0,0.1,9.7,27.0
